,Hour,a1c_type,sugar, hr
0,0,Normal,2.08248264597795,67.85275000486108
1,0,Prediabetes,4.193505716749659,72.54779981639636
2,1,Normal,4.880357142857143,67.7885265376984
3,1,Prediabetes,2.902345471158172,69.11779339260785
4,2,Normal,0.0,65.95788000992063
5,2,Prediabetes,2.387375845905741,65.3249190392219
6,3,Normal,0.4256972013700649,62.99598077086246
7,3,Prediabetes,0.0,65.40984827733682
8,4,Normal,8.870147632286969,66.37547906422738
9,4,Prediabetes,4.50512442601966,61.87928142358868
10,5,Normal,4.616712614758706,63.039817490163536
11,5,Prediabetes,5.903603058610935,68.45191909641281
12,6,Normal,10.397998191395443,73.44121758800847
13,6,Prediabetes,8.106331702899094,75.0200333784177
14,7,Normal,8.1428385143611,82.2360221806198
15,7,Prediabetes,13.233449821844829,80.31649907024676
16,8,Normal,8.612377339644995,83.1974313447347
17,8,Prediabetes,8.646105142239994,83.82834530602211
18,9,Normal,12.079553453622875,85.0350229909879
19,9,Prediabetes,9.071119675148159,79.25125732351799
20,10,Normal,8.96020351582835,84.57890263051245
21,10,Prediabetes,6.30600546775725,80.71543655381797
22,11,Normal,8.59223490250953,82.27224999606939
23,11,Prediabetes,6.312778642742821,84.6682012912779
24,12,Normal,7.488836771729515,81.42185420157848
25,12,Prediabetes,5.466579488007321,84.0247065501291
26,13,Normal,9.495369398673372,82.46713697169847
27,13,Prediabetes,5.101435764955277,85.64541878773834
28,14,Normal,11.954624997069985,87.73265408626487
29,14,Prediabetes,6.850135004492012,87.99956168704348
30,15,Normal,14.328823791022296,87.23098633590536
31,15,Prediabetes,8.158635466102751,84.77073582860271
32,16,Normal,6.9427779911049905,86.37467976642877
33,16,Prediabetes,9.704069071438743,84.23894601003123
34,17,Normal,7.9498152435029485,86.11361309359152
35,17,Prediabetes,3.946291264513343,83.60440232173119
36,18,Normal,8.431419024445722,83.27592502414778
37,18,Prediabetes,7.419589655279241,81.70520823296026
38,19,Normal,7.598286980252667,80.75994553129728
39,19,Prediabetes,6.742244604058609,84.06960560229781
40,20,Normal,9.892272615035592,81.56405445423985
41,20,Prediabetes,9.404396157020376,85.28615053714454
42,21,Normal,10.19550197370075,75.1804672284445
43,21,Prediabetes,11.620006223531757,82.2028502316807
44,22,Normal,5.023886324301879,76.89422704223132
45,22,Prediabetes,8.749877363715484,79.68970387225092
46,23,Normal,0.0,71.20655770185769
47,23,Prediabetes,14.3651656422907,75.42820429912707
